127.0.0.1 - - [27/Jun/2024:12:26:29 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Jun/2024:12:26:30 +0530] "GET /memorys/ HTTP/1.1" 200 2075
0:0:0:0:0:0:0:1 - - [27/Jun/2024:12:26:31 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Jun/2024:12:26:35 +0530] "GET /memorys/login.jsp HTTP/1.1" 200 1656
0:0:0:0:0:0:0:1 - - [27/Jun/2024:12:26:41 +0530] "POST /memorys/loginhandler.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Jun/2024:12:26:41 +0530] "GET /memorys/home.jsp HTTP/1.1" 200 73400
0:0:0:0:0:0:0:1 - - [27/Jun/2024:12:26:41 +0530] "GET /memorys/image/photo.png HTTP/1.1" 200 33053
0:0:0:0:0:0:0:1 - - [27/Jun/2024:12:26:42 +0530] "GET /memorys/image/keith-misner-h0Vxgz5tyXA-unsplash.jpg HTTP/1.1" 200 3245698
0:0:0:0:0:0:0:1 - - [27/Jun/2024:12:26:42 +0530] "GET /memorys/image/round.png HTTP/1.1" 200 24969
0:0:0:0:0:0:0:1 - - [27/Jun/2024:12:26:42 +0530] "GET /memorys/image/add.png HTTP/1.1" 200 12016
0:0:0:0:0:0:0:1 - - [27/Jun/2024:12:26:42 +0530] "GET /memorys/image/information-button.png HTTP/1.1" 200 7391
0:0:0:0:0:0:0:1 - - [27/Jun/2024:12:26:42 +0530] "GET /memorys/image/logout.png HTTP/1.1" 200 2849
0:0:0:0:0:0:0:1 - - [27/Jun/2024:12:26:42 +0530] "GET /memorys/image/user.png HTTP/1.1" 200 11118
